scientific,binomial,binomial_index,commons,commons_index,keywords,state,type
Herichthys pantostictus,Herichthys pantostictus,herichthys pantostictus,Chairel Cichlid,chairel cichlid,"chairel,cichlid",,BINOMIAL
Shinisaurus crocodilurus,Shinisaurus crocodilurus,shinisaurus crocodilurus,Chinese Crocodile Lizard,chinese crocodile lizard,"crocodile,lizard,chinese",,BINOMIAL
Anomalepis flavapices,Anomalepis flavapices,anomalepis flavapices,Ecuador Blind Snake,ecuador blind snake,"blind,snake,ecuador",,BINOMIAL
Adelophis foxi,Adelophis foxi,adelophis foxi,Fox's Mountain Meadow Snake,fox mountain meadow snake,"mountain,fox,meadow,snake",,BINOMIAL
Cerberus microlepis,Cerberus microlepis,cerberus microlepis,Dog-faced Water Snake,dog faced water snake,"faced,water,dog,snake",,BINOMIAL
Typhlophis squamosus,Typhlophis squamosus,typhlophis squamosus,Trinidad Blind Snake,trinidad blind snake,"blind,snake,trinidad",,BINOMIAL
Polemon bocourti,Polemon bocourti,polemon bocourti,Bocourt's Snake-eater,bocourt snake eater,"eater,bocourt,snake",,BINOMIAL
Achalinus hainanus,Achalinus hainanus,achalinus hainanus,Hainan Odd-scaled Snake,hainan odd scaled snake,"scaled,hainan,odd,snake",,BINOMIAL
Amphiesma kerinciense,,,,,,NO_COMMONS,
Arrhyton polylepis,,,,,,NO_COMMONS,
Atractus major,Atractus major,atractus major,"Brown Ground Snake,Big Ground Snake","brown ground snake,big ground snake","brown,big,snake,ground",,BINOMIAL
Atractus roulei,Atractus roulei,atractus roulei,Roule's Ground Snake,roule ground snake,"roule,snake,ground",,BINOMIAL
Atractus zidoki,Atractus zidoki,atractus zidoki,Zidok's Ground Snake,zidok ground snake,"zidok,snake,ground",,BINOMIAL
Heros severus,Heros severus,heros severus,Banded Cichlid,banded cichlid,"banded,cichlid",,BINOMIAL
Boiga guangxiensis,,,,,,NO_COMMONS,
Chironius flavolineatus,Chironius flavolineatus,chironius flavolineatus,Boettger's Sipo,boettger sipo,"sipo,boettger",,BINOMIAL
Clelia equatoriana,Clelia equatoriana,clelia equatoriana,Equatorial Mussurana,equatorial mussurana,"mussurana,equatorial",,BINOMIAL
Coluber gracilis,Coluber gracilis,coluber gracilis,Graceful Racer,graceful racer,"graceful,racer",,BINOMIAL
Coluber vittacaudatus,,,,,,NO_COMMONS,
Dendrophidion boshelli,Dendrophidion boshelli,dendrophidion boshelli,Hoshell's Forest Racer,hoshell forest racer,"racer,hoshell,forest",,BINOMIAL
Enulius roatanensis,,,,,,NO_COMMONS,
Oxybelis wilsoni,,,,,,NO_COMMONS,
Elaphe maculata,,,,,,NO_COMMONS,
Oligodon ningshaanensis,Oligodon ningshaanensis,oligodon ningshaanensis,Ningshaan Kukri Snake,ningshaan kukri snake,"ningshaan,kukri,snake",,BINOMIAL
